t,ID,x,y,vx,vy
1.8000,5,1.067990,0.773250,0.072454,0.158078
1.8000,6,1.384070,0.306965,0.062442,0.118615
1.8000,7,1.610100,0.805987,0.141887,-0.012036
1.9000,0,1.750540,0.425209,0.108875,0.031012
1.9000,1,0.801756,0.451746,0.003078,0.034991
1.9000,2,0.842517,1.066290,-0.114111,0.169093
1.9000,3,1.332800,0.965568,-0.012564,0.035438
1.9000,4,1.076640,0.341797,0.076391,0.074048
1.9000,5,1.069830,0.783335,-0.059035,0.056014
1.9000,6,1.390160,0.322996,0.038252,0.188521
1.9000,7,1.623790,0.804893,0.071183,0.021072
2.0000,0,1.761870,0.428025,0.116924,0.025078
2.0000,1,0.805260,0.448907,0.068716,-0.092113
2.0000,2,0.842621,1.083950,0.108775,0.183546
2.0000,3,1.334380,0.964111,0.030229,-0.040282
2.0000,4,1.083800,0.344711,0.070404,-0.019245
2.0000,5,1.068050,0.785088,0.009318,-0.010790
2.0000,6,1.394480,0.341361,0.047708,0.178436
2.0000,7,1.631960,0.804887,0.088617,-0.010633
2.1000,0,1.771330,0.429838,0.077005,0.013260
2.1000,1,0.807792,0.450447,0.020544,0.076006
2.1000,2,0.864764,1.103700,0.029556,0.221544
2.1000,3,1.337050,0.960700,0.025329,-0.036561
2.1000,4,1.085770,0.351372,0.007008,0.102024
2.1000,5,1.069280,0.789787,0.025706,0.092280
2.1000,6,1.398580,0.354889,0.035206,0.101602
2.1000,7,1.639260,0.803916,0.060321,-0.010436
2.2000,0,1.789690,0.435835,0.305397,0.096344
2.2000,1,0.816612,0.458951,0.137903,0.088031
2.2000,2,0.872285,1.120790,0.128796,0.126407
2.2000,3,1.342540,0.953356,0.086255,-0.111066
2.2000,4,1.095070,0.358270,0.159955,0.034031
2.2000,5,1.076760,0.796539,0.124447,0.023325
2.2000,6,1.408420,0.362254,0.150521,0.065778
2.2000,7,1.648560,0.800836,0.126845,-0.052374
2.3000,0,1.835570,0.446483,0.610337,0.108372
2.3000,1,0.831245,0.455804,0.167144,-0.118021
2.3000,2,0.894418,1.132870,0.334909,0.119040
2.3000,3,1.353630,0.941666,0.150211,-0.140240
2.3000,4,1.119460,0.357508,0.316663,-0.029682
2.3000,5,1.089390,0.788262,0.149667,-0.165304
2.3000,6,1.433230,0.366493,0.330471,0.027984
2.3000,7,1.663740,0.793800,0.191174,-0.099310
2.4000,0,1.900390,0.460476,0.612114,0.218480
2.4000,1,0.851849,0.441124,0.240165,-0.186462
2.4000,2,0.920537,1.146110,0.192216,0.144990
2.4000,3,1.371770,0.925763,0.208053,-0.159113
2.4000,4,1.172710,0.355273,0.730201,-0.033763
2.4000,5,1.109760,0.769766,0.249104,-0.215330
2.4000,6,1.485590,0.366618,0.708617,-0.005486
2.4000,7,1.686210,0.781603,0.254556,-0.141793
2.5000,0,1.981740,0.481494,1.001990,0.202424
2.5000,1,0.878780,0.415171,0.214074,-0.323120
2.5000,2,0.925063,1.163280,0.007037,-0.007244
2.5000,3,1.387600,0.907467,0.080895,-0.247233
2.5000,4,1.238070,0.348116,0.479418,-0.132327
2.5000,5,1.130200,0.744531,0.128441,-0.323618
2.5000,6,1.546120,0.357601,0.401371,-0.211431
2.5000,7,1.708390,0.771784,0.175660,-0.092732
2.6000,0,2.089420,0.499546,1.146840,0.160026
2.6000,1,0.913290,0.379450,0.218598,-0.198720
2.6000,2,0.963380,1.162600,0.733912,-0.006973
2.6000,3,1.401120,0.880445,0.174122,-0.266015
2.6000,4,1.261350,0.343571,0.241153,-0.201416
2.6000,5,1.147090,0.712448,0.182577,-0.268501
2.6000,6,1.567480,0.355445,0.224478,0.046155
2.6000,7,1.731280,0.759135,0.263860,-0.143229
2.7000,0,2.205650,0.516523,1.176840,0.178883
2.7000,1,0.920750,0.369700,-0.013069,-0.047207
2.7000,2,1.031550,1.161090,0.634426,-0.023608
2.7000,3,1.419990,0.858272,0.199443,-0.185895
2.7000,4,1.280300,0.322733,0.186250,-0.255999
2.7000,5,1.165520,0.693340,0.212601,-0.210481
2.7000,6,1.587970,0.359724,0.205426,0.022298
2.7000,7,1.757170,0.747284,0.258126,-0.096040
2.8000,0,2.314240,0.533834,1.000910,0.167717
2.8000,1,0.941560,0.361670,0.174892,0.191837
2.8000,2,1.112060,1.157260,0.964775,-0.052115
2.8000,3,1.447870,0.840714,0.340435,-0.164805
2.8000,4,1.299590,0.309271,0.129976,-0.031363
2.8000,5,1.183370,0.681946,0.098104,0.009578
2.8000,6,1.609500,0.363138,0.184002,0.025123
2.8000,7,1.788520,0.738063,0.352785,-0.072113
2.9000,0,2.423210,0.543231,1.172670,0.024971
2.9000,1,0.961934,0.383572,0.256966,0.237011
2.9000,2,1.152030,1.157340,0.052463,-0.091890
2.9000,3,1.458830,0.828472,0.054930,-0.078393
2.9000,4,1.310060,0.307527,0.110969,-0.017337
2.9000,5,1.187460,0.677929,-0.011206,-0.088965
2.9000,6,1.621150,0.363142,0.113139,0.015426
2.9000,7,1.805020,0.736275,0.124497,0.013222
3.0000,0,2.529800,0.544056,0.966085,-0.007389
3.0000,1,0.974986,0.395938,0.093002,0.030009
3.0000,2,1.154940,1.154410,0.022721,-0.006679
3.0000,3,1.466070,0.819426,0.077327,-0.106390
3.0000,4,1.319780,0.309186,0.106480,0.009462
3.0000,5,1.190090,0.676217,0.034656,-0.015085
3.0000,6,1.632000,0.367516,0.126401,0.050395
3.0000,7,1.820550,0.737495,0.176423,0.015132
3.1000,0,2.633470,0.542390,1.102670,-0.025342
3.1000,1,0.992814,0.399588,0.173442,0.074550
3.1000,2,1.156130,1.153110,0.001877,-0.018825
3.1000,3,1.472900,0.819094,0.068141,0.011587
